id,preview,energy,valence
6ZtrGCcn38kGImt2GPFbJB,https://p.scdn.co/mp3-preview/3bd0782c1c852c6a022cbcb636c2254bf18a6a09?cid=7b94cea739b042da8b24219ff35b9915,0.787,0.822
38ZUf8Pqvq3bUI11eg7Qr2,https://p.scdn.co/mp3-preview/5c51cb417e677799c8944d4dd96ef63d8a00238d?cid=7b94cea739b042da8b24219ff35b9915,0.62,0.301
6hDhH8foTyTcj00l6bzyfE,https://p.scdn.co/mp3-preview/3892a946c89cd334f45334f3739de88ed28db8e8?cid=7b94cea739b042da8b24219ff35b9915,0.563,0.472
1Ic5lkDyFaP6nacE84YWfc,https://p.scdn.co/mp3-preview/5f89c289cb09628c9e781315a17166acf9b5df12?cid=7b94cea739b042da8b24219ff35b9915,0.66,0.124
4fVifN41j9C6RAqhivF0s9,https://p.scdn.co/mp3-preview/89767043298fa4d44fd48b858a50f58594013bb2?cid=7b94cea739b042da8b24219ff35b9915,0.326,0.194
5wC2vQrGFrtW6oQ3KYdkSu,https://p.scdn.co/mp3-preview/64e5c6bf40247a6598e34a1ffa91a258c12c98c7?cid=7b94cea739b042da8b24219ff35b9915,0.839,0.792
5OQsiBsky2k2kDKy2bX2eT,https://p.scdn.co/mp3-preview/a03a546e8dfee4c84098a52d3c3f2b4ca524ae59?cid=7b94cea739b042da8b24219ff35b9915,0.919,0.537
0mxYtERPW56TFiFKhL0uSo,https://p.scdn.co/mp3-preview/2397208802e367694f47f01b13b0c78c0d24d9f6?cid=7b94cea739b042da8b24219ff35b9915,0.759,0.451
7e5heTcbTYAx65uv026xHY,https://p.scdn.co/mp3-preview/7b4ecd827d4ba455be682b2c7d73d861469356d9?cid=7b94cea739b042da8b24219ff35b9915,0.631,0.533
5hjwHDycZOfSEwjrkGe0M5,https://p.scdn.co/mp3-preview/f721712dbcf1cde45d892f4e967fbe9a1f6bb124?cid=7b94cea739b042da8b24219ff35b9915,0.848,0.637
6Dk2oxb5zYRmCJjYhdbrkr,https://p.scdn.co/mp3-preview/46a90ac0fb9efe1f967957a804c331f2965087a6?cid=7b94cea739b042da8b24219ff35b9915,0.425,0.307
64ysM5iU8356uyNjpGMAHx,https://p.scdn.co/mp3-preview/ac1dc4ec082d39f8f7038ee060245766480b0936?cid=7b94cea739b042da8b24219ff35b9915,0.795,0.183
0yAFRgbfKbVJrjs3xvWscy,https://p.scdn.co/mp3-preview/b1a4ea53b2a0fd142c95e723037875e438b3e81b?cid=7b94cea739b042da8b24219ff35b9915,0.837,0.694
4erR0HoXJjx1vEKIjRZ0lk,https://p.scdn.co/mp3-preview/7fb74d40343bfdd4c815d560ec61dcbe88457ffb?cid=7b94cea739b042da8b24219ff35b9915,0.835,0.512
5TfAk5lFoBevELw6rClki1,https://p.scdn.co/mp3-preview/92a317a4a6fb134fdcd4a620d99a5809cfb018a7?cid=7b94cea739b042da8b24219ff35b9915,0.435,0.0803
1D4hkI6BFLiFzzEYgMqDhd,https://p.scdn.co/mp3-preview/7ee6f5731a8941a5a23a5e57a02972d424e173d5?cid=7b94cea739b042da8b24219ff35b9915,0.775,0.8
2SiXAy7TuUkycRVbbWDEpo,https://p.scdn.co/mp3-preview/2a200f628c41fadd1734ea7663f380659b93d826?cid=7b94cea739b042da8b24219ff35b9915,0.767,0.755
11NgL0F31HvT5UGirVjqfB,https://p.scdn.co/mp3-preview/cd9a8fa068ce59524af9d380500f06fb84dc9d51?cid=7b94cea739b042da8b24219ff35b9915,0.574,0.852
1AaF6mhGoG3i85RNws487H,https://p.scdn.co/mp3-preview/aebe73502b4b2ae82b6a7d1ff5a7494f7c469eb2?cid=7b94cea739b042da8b24219ff35b9915,0.614,0.175
6td978zQdZR1ouXW5B6CdF,https://p.scdn.co/mp3-preview/b0a0dc43d5bd47c91e93e0e616fd14636d155299?cid=7b94cea739b042da8b24219ff35b9915,0.759,0.343
3d9jV3GqjgozwgGUll8xL4,https://p.scdn.co/mp3-preview/22ba3c5790e01997667384075e9d4d2435ba40dd?cid=7b94cea739b042da8b24219ff35b9915,0.859,0.401
1deEHcrf0gPA93fT6OEBUT,https://p.scdn.co/mp3-preview/28ebcb858c8e1701f5a590da1240d64cb1154ae0?cid=7b94cea739b042da8b24219ff35b9915,0.809,0.353
0F0oLzY9nhZOkzoOZrOOhy,https://p.scdn.co/mp3-preview/e82220d3f8e9b032108f54713887e8538894d7b0?cid=7b94cea739b042da8b24219ff35b9915,0.936,0.591
2iRQXKMqoqrtW7VwN0NLGm,https://p.scdn.co/mp3-preview/7d4f3f75eb1b870ede7cb78d0aa6d9d71bf5d0c7?cid=7b94cea739b042da8b24219ff35b9915,0.792,0.506
484XXYx31PmcvwQpNXxrKE,https://p.scdn.co/mp3-preview/563f27cda032c07681be934c31f7c4f25ccbb45b?cid=7b94cea739b042da8b24219ff35b9915,0.75,0.203
3az8ipewlNaJ1XlmsMYCNl,https://p.scdn.co/mp3-preview/1865e1c0ca42a9a500018776011de41b9adf8bb4?cid=7b94cea739b042da8b24219ff35b9915,0.931,0.735
08mG3Y1vljYA6bvDt4Wqkj,https://p.scdn.co/mp3-preview/506bc9a0485990973449b0467791e06174371284?cid=7b94cea739b042da8b24219ff35b9915,0.7,0.763
7LRMbd3LEoV5wZJvXT1Lwb,https://p.scdn.co/mp3-preview/baea5e2b5a7315322edb8fade9bb8deacc97b436?cid=7b94cea739b042da8b24219ff35b9915,0.759,0.435
2KKLuHN6zDxVnWtFKO8vo4,https://p.scdn.co/mp3-preview/8b3394e9b2ca92cc3167d9feb36c87bf110476e4?cid=7b94cea739b042da8b24219ff35b9915,0.667,0.29
6zeE5tKyr8Nu882DQhhSQI,https://p.scdn.co/mp3-preview/f86dfdfaca403adb32ee7a68b84e9953b0cc8572?cid=7b94cea739b042da8b24219ff35b9915,0.322,0.387
7Clj1VaR0Vww6bUuM3nBk1,https://p.scdn.co/mp3-preview/7e027ed429f71beb2ffa68171cb3639fd5398e4b?cid=7b94cea739b042da8b24219ff35b9915,0.518,0.644
14OBGVZHB5KEWoYyr5Lb2w,https://p.scdn.co/mp3-preview/33fed2711ce07ac6bc5c2c5174b66f459d40798c?cid=7b94cea739b042da8b24219ff35b9915,0.947,0.551
0k0cKa8Mk3h7XeEzY0thFM,https://p.scdn.co/mp3-preview/3a453533bd588eb27315f4c4f16239168dfae5ae?cid=7b94cea739b042da8b24219ff35b9915,0.783,0.52
4TRjRYuM6iUL5hdfXTO4Hd,https://p.scdn.co/mp3-preview/4d7249b7f260ca9e0078690369f0fd9f6e2a3288?cid=7b94cea739b042da8b24219ff35b9915,0.667,0.696
3GUDcoI8YXplwIjMcmyT0F,https://p.scdn.co/mp3-preview/1c7fdb15b2e8435145e6c2e97546a9bd79ffefb5?cid=7b94cea739b042da8b24219ff35b9915,0.996,0.253
38deytYbP2Q7nHcW61b4ro,https://p.scdn.co/mp3-preview/c2cf59190af815d7db9bab0bbfe7b7ab6b84190d?cid=7b94cea739b042da8b24219ff35b9915,0.728,0.835
4feXJ5IC3avXsVW9WNFSag,https://p.scdn.co/mp3-preview/eefd2f76a89e1c20452338a9e6f25dcbd1e8c601?cid=7b94cea739b042da8b24219ff35b9915,0.931,0.697
1jzDzZWeSDBg5fhNc3tczV,https://p.scdn.co/mp3-preview/c3c74a5d2214f66307037df432d0ba2480e708fe?cid=7b94cea739b042da8b24219ff35b9915,0.631,0.376
0TI8TP4FitVPoEHPTySx48,https://p.scdn.co/mp3-preview/b5afd236ad1f6a6df6ba6994c665f648c4d0fda4?cid=7b94cea739b042da8b24219ff35b9915,0.769,0.525
0W35nxtHtFlseSojmygEsf,https://p.scdn.co/mp3-preview/7b0420fab47dfbf060312207b3f67d8bea8f04ba?cid=7b94cea739b042da8b24219ff35b9915,0.612,0.496
69QHm3pustz01CJRwdo20z,https://p.scdn.co/mp3-preview/63c396837c1738dd17a7a2b055a4981dce74f46f?cid=7b94cea739b042da8b24219ff35b9915,0.873,0.303
1CLUtToY6V0jn79UPtf5VA,https://p.scdn.co/mp3-preview/3cf5760fef6e17567004ff8f54d559a30697b670?cid=7b94cea739b042da8b24219ff35b9915,0.772,0.567
6EPRKhUOdiFSQwGBRBbvsZ,https://p.scdn.co/mp3-preview/34cf36a576042c34fa6dee1a6c9da3dec4e54d62?cid=7b94cea739b042da8b24219ff35b9915,0.974,0.234
5Z8EDau8uNcP1E8JvmfkZe,https://p.scdn.co/mp3-preview/f399de2969ba2f0568fd1ec6aa8accdea1c311a9?cid=7b94cea739b042da8b24219ff35b9915,0.745,0.347
4bHsxqR3GMrXTxEPLuK5ue,https://p.scdn.co/mp3-preview/21b9abd3cd2eea634e17a917196fdd5ba2e82670?cid=7b94cea739b042da8b24219ff35b9915,0.748,0.514
5Zj7ovvDDhalqPBSoC2EHI,https://p.scdn.co/mp3-preview/d68565ee4c8c641b395e2fe0de84d09bfa331948?cid=7b94cea739b042da8b24219ff35b9915,0.985,0.424
6FOGRNfOgaubrZNc9MW19K,https://p.scdn.co/mp3-preview/71068b0ea30498aefd87ddc350e6e3189678df29?cid=7b94cea739b042da8b24219ff35b9915,0.663,0.714
0Q8IxQDgQ1Yyz7rBP8dUHg,https://p.scdn.co/mp3-preview/326178342aa4364df3e716a0ab9a8fdccdbaafcd?cid=7b94cea739b042da8b24219ff35b9915,0.69,0.192
3XY6uRWwdvIgbhJUp7oN0C,https://p.scdn.co/mp3-preview/d00ef7411d1b5a6a3edda6922f4c67c45dc389a1?cid=7b94cea739b042da8b24219ff35b9915,0.977,0.32
2yTtB554djGbfa7YpwSI4P,https://p.scdn.co/mp3-preview/1823966cf59aaf4464694fd08faa330d438f3a89?cid=7b94cea739b042da8b24219ff35b9915,0.822,0.147
6VEj6smGobXQiYLbb3AuXS,https://p.scdn.co/mp3-preview/35390d423c97148d07cde4e84953aedf5171d9a4?cid=7b94cea739b042da8b24219ff35b9915,0.776,0.0399
6QjVUXJ98KHNirQbdchOEy,https://p.scdn.co/mp3-preview/2932ae5378bec13ce85dbcd7e54bd0f7e27367bd?cid=7b94cea739b042da8b24219ff35b9915,0.742,0.241
1MW7dxC2artmIuulZxqVkh,https://p.scdn.co/mp3-preview/a9a47074a450abcbfcfb12e2ec00101609604450?cid=7b94cea739b042da8b24219ff35b9915,0.44,0.712
1dDRkOWLyIB9yCexVsdZVB,https://p.scdn.co/mp3-preview/5dc0e635a908d48004b6a98ef55e5276d3d7ab6e?cid=7b94cea739b042da8b24219ff35b9915,0.49,0.596
0PNzUQNiprJSn7W0Jmd79L,https://p.scdn.co/mp3-preview/b11edf5e3a63efaadcf090e2638cf47d463aa353?cid=7b94cea739b042da8b24219ff35b9915,0.805,0.453
4vCkczyUzwr6WwqIwHgrIa,https://p.scdn.co/mp3-preview/243a258011e24eee26bfb0f8481f69d0e6fa8409?cid=7b94cea739b042da8b24219ff35b9915,0.675,0.721
